fkprocessnode	paramname	paramvalue	pkid	primarydata	resettoggle	tkparam	tkreset	tkservice	versionstamp
00000000-1111-0000-0000-000000000000	DisableAlertingPI	F	bb5c09eb-7b7b-4084-bcc1-ddd2e64545e6	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	DiscardNonInbandProgress	F	ecadc05b-1f73-4d3b-ae11-8dc72a3d374c	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	DisableResumeFromMGCPFXSShareline	T	d72ae5af-29d3-4448-af8a-4321cfb8ff6a	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	DtSilenceFlag	F	e15c621a-2e99-4764-8fba-93c9864e340f	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	EnableDisplayIEInCodeset6	F	d69e479a-d275-4f6e-b8e2-a940aa3fcfe8	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	EnablePriNi2ServiceMessageSupport	F	e4b3a917-6adf-4993-80a0-29b16f44993a	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	FlashHookDuration_msec	500	b012c79f-db5d-455c-b184-6f6e5aa46ddb	t	f	2	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	GatewayPollTimeout	10	d45618e6-899a-4715-bfbb-033b492d5554	t	f	2	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	LocationInPRIProgressIndicator	16	20bc8f30-ae70-4ac5-9bae-6e39379f1a0c	t	f	3	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	MatchingCgpnWithAttendantFlag	F	ce188b97-6ddc-45d7-bd58-b9111050f163	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	MGCPDbQueryDelayTime_msec	1000	313f892a-4ba3-4c44-b222-e87cb39303a2	t	f	2	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	MgcpFxsHangupTimeout	3	88bacd46-8c97-476f-ab1f-a79d7c4d895f	t	f	2	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	MGCPRespTimeout	30	ac748725-bafa-4c2b-8604-387cfe060845	t	f	2	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	MGCPTimeout	3	eaf00ab8-75e8-4f49-b168-e8b3afdca460	t	f	2	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	MGCPRetryTimeoutHandling	0	a9613717-4025-432e-bc3c-beb96323f6fe	t	f	3	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	NumberingPlanInfo	1	3d471812-4e6d-4670-8fd0-6482e0d4856d	t	f	2	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	OptimizeMediaConnectionTime	T	b1f70e12-659a-40f0-b85b-72f0dc65fdd8	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	OverlapReceivingForPriFlag	T	11928838-0a88-4dcf-aaf8-6f9bc81a6657	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	OutgoingMediaConnectTimeForPri	0	9c9ad11b-0049-4498-8d05-53016dfd5609	t	f	3	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	PortReleaseTimer	0	3adc9dc9-54e7-4239-ad0a-63fe4cc40f28	t	f	2	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	PRI4ESSUUIEDeviceType	0	f468d457-5738-41c1-bf2b-a629650c3e21	t	f	2	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	SMDICallDelayTimer	0	fc39bc43-2de4-4d4a-a77e-bd186fed5d19	t	f	2	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	StableIn4Flag	F	ea022925-9f20-46bf-bc49-a85c229d322c	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	OptimizeMGCPRegistration	T	7e8e0b1e-039f-45e8-9771-1dac74120727	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	SuppressOutOfChansEvents	T	6dc61e4f-0b80-47be-aa82-a5c33e2c4972	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	TimerT1Frame_msec	2000	ff6d81c8-7d2f-4448-bab8-6a2fb5f99b7b	t	f	2	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	ConvertProgressToDisconnect	F	b9b46ae0-64fa-47d4-ab64-93752f4c7c38	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	UserUserIEStatus	F	7e48664f-fa4c-4cfa-83f2-e8a5656e76da	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	ConvertEuropeanProgressMessagetoAlerting	F	e21a3cd1-fb90-4754-b53d-41d629585170	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	EnableDmsPriNotifyMessageFromUserToNetwork	T	94140794-d17a-4f3a-ab41-10e3398bc83c	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	AuditOosChannelTimer	10	5e95d5d8-4276-40da-a975-a2f6ca696f68	t	f	2	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
